id;nombre_plato;ingredientes_plato;tiempo_preparacion
1;immediate slap toward;duh phooey inasmuch;furiously mmm
2;revere um translation;nervously unless tidy;left quantify
3;unless woot underplay;inculcate plumber um;diver ill
4;amid scarily skyscraper;fen total;aside searchingly sans
5;supposing midst;huzzah animated;cannon
6;against pace pfft;sociable;fooey oxidize jaggedly
7;understanding lounge;ew blind speedy;frenetically yum boo
8;versus;curiously generally beneath;bah
9;lest scheme;colorfully while till;boo
10;ha blindly;acquire into;why mmm consequently
